order_id_x,customer_id,customer_name,email,phone,order_id_y,product_id,quantity,order_date,status
7,7,Customer 7,customer7@example.com,555-0107,91,43,4,2023-04-01,Cancelled
7,7,Customer 7,customer7@example.com,555-0107,92,15,6,2023-04-02,Pending
7,7,Customer 7,customer7@example.com,555-0107,94,29,4,2023-04-04,Delivered
7,7,Customer 7,customer7@example.com,555-0107,96,83,9,2023-04-06,Pending
7,7,Customer 7,customer7@example.com,555-0107,115,46,8,2023-04-25,Delivered
8,8,Customer 8,customer8@example.com,555-0108,52,22,8,2023-02-21,Delivered
8,8,Customer 8,customer8@example.com,555-0108,60,59,4,2023-03-01,Pending
8,8,Customer 8,customer8@example.com,555-0108,120,92,8,2023-04-30,Cancelled
9,9,Customer 9,customer9@example.com,555-0109,2,37,4,2023-01-02,Shipped
9,9,Customer 9,customer9@example.com,555-0109,6,70,4,2023-01-06,Cancelled
9,9,Customer 9,customer9@example.com,555-0109,47,84,6,2023-02-16,Pending
9,9,Customer 9,customer9@example.com,555-0109,77,20,4,2023-03-18,Shipped
9,9,Customer 9,customer9@example.com,555-0109,107,9,7,2023-04-17,Shipped
9,9,Customer 9,customer9@example.com,555-0109,119,50,4,2023-04-29,Shipped
10,10,Customer 10,customer10@example.com,555-0110,22,31,9,2023-01-22,Delivered
10,10,Customer 10,customer10@example.com,555-0110,30,70,7,2023-01-30,Cancelled
10,10,Customer 10,customer10@example.com,555-0110,38,76,8,2023-02-07,Shipped
10,10,Customer 10,customer10@example.com,555-0110,56,92,8,2023-02-25,Shipped
10,10,Customer 10,customer10@example.com,555-0110,62,87,5,2023-03-03,Delivered
10,10,Customer 10,customer10@example.com,555-0110,74,94,9,2023-03-15,Pending
10,10,Customer 10,customer10@example.com,555-0110,100,84,9,2023-04-10,Pending
11,11,Customer 11,customer11@example.com,555-0111,9,63,3,2023-01-09,Shipped
11,11,Customer 11,customer11@example.com,555-0111,49,42,2,2023-02-18,Delivered
11,11,Customer 11,customer11@example.com,555-0111,79,72,3,2023-03-20,Cancelled
11,11,Customer 11,customer11@example.com,555-0111,117,75,1,2023-04-27,Pending
12,12,Customer 12,customer12@example.com,555-0112,3,1,3,2023-01-03,Cancelled
12,12,Customer 12,customer12@example.com,555-0112,50,94,4,2023-02-19,Delivered
12,12,Customer 12,customer12@example.com,555-0112,58,29,7,2023-02-27,Delivered
12,12,Customer 12,customer12@example.com,555-0112,89,26,9,2023-03-30,Delivered
13,13,Customer 13,customer13@example.com,555-0113,19,26,7,2023-01-19,Shipped
13,13,Customer 13,customer13@example.com,555-0113,39,23,9,2023-02-08,Cancelled
13,13,Customer 13,customer13@example.com,555-0113,72,57,1,2023-03-13,Pending
13,13,Customer 13,customer13@example.com,555-0113,116,27,4,2023-04-26,Pending
14,14,Customer 14,customer14@example.com,555-0114,21,36,9,2023-01-21,Cancelled
14,14,Customer 14,customer14@example.com,555-0114,27,94,9,2023-01-27,Pending
14,14,Customer 14,customer14@example.com,555-0114,34,92,3,2023-02-03,Shipped
14,14,Customer 14,customer14@example.com,555-0114,35,86,1,2023-02-04,Delivered
14,14,Customer 14,customer14@example.com,555-0114,51,47,6,2023-02-20,Pending
14,14,Customer 14,customer14@example.com,555-0114,54,90,7,2023-02-23,Cancelled
14,14,Customer 14,customer14@example.com,555-0114,99,100,1,2023-04-09,Pending
14,14,Customer 14,customer14@example.com,555-0114,102,73,6,2023-04-12,Delivered
14,14,Customer 14,customer14@example.com,555-0114,105,6,8,2023-04-15,Pending
14,14,Customer 14,customer14@example.com,555-0114,108,80,5,2023-04-18,Shipped
15,15,Customer 15,customer15@example.com,555-0115,4,76,6,2023-01-04,Cancelled
15,15,Customer 15,customer15@example.com,555-0115,14,36,1,2023-01-14,Delivered
15,15,Customer 15,customer15@example.com,555-0115,44,19,7,2023-02-13,Shipped
15,15,Customer 15,customer15@example.com,555-0115,65,37,6,2023-03-06,Delivered
15,15,Customer 15,customer15@example.com,555-0115,69,68,5,2023-03-10,Cancelled
15,15,Customer 15,customer15@example.com,555-0115,87,93,1,2023-03-28,Delivered
15,15,Customer 15,customer15@example.com,555-0115,111,12,6,2023-04-21,Pending
15,15,Customer 15,customer15@example.com,555-0115,118,53,6,2023-04-28,Shipped
16,16,Customer 16,customer16@example.com,555-0116,28,85,9,2023-01-28,Delivered
16,16,Customer 16,customer16@example.com,555-0116,40,31,5,2023-02-09,Delivered
16,16,Customer 16,customer16@example.com,555-0116,46,44,2,2023-02-15,Shipped
16,16,Customer 16,customer16@example.com,555-0116,55,97,7,2023-02-24,Pending
16,16,Customer 16,customer16@example.com,555-0116,85,65,2,2023-03-26,Shipped
17,17,Customer 17,customer17@example.com,555-0117,45,93,5,2023-02-14,Shipped
17,17,Customer 17,customer17@example.com,555-0117,75,88,5,2023-03-16,Shipped
17,17,Customer 17,customer17@example.com,555-0117,80,88,2,2023-03-21,Shipped
17,17,Customer 17,customer17@example.com,555-0117,110,54,4,2023-04-20,Shipped
18,18,Customer 18,customer18@example.com,555-0118,24,34,1,2023-01-24,Cancelled
18,18,Customer 18,customer18@example.com,555-0118,32,45,8,2023-02-01,Shipped
18,18,Customer 18,customer18@example.com,555-0118,103,62,6,2023-04-13,Shipped
19,19,Customer 19,customer19@example.com,555-0119,20,68,8,2023-01-20,Shipped
19,19,Customer 19,customer19@example.com,555-0119,33,67,5,2023-02-02,Delivered
19,19,Customer 19,customer19@example.com,555-0119,59,82,1,2023-02-28,Cancelled
19,19,Customer 19,customer19@example.com,555-0119,64,17,5,2023-03-05,Pending
19,19,Customer 19,customer19@example.com,555-0119,68,64,2,2023-03-09,Pending
19,19,Customer 19,customer19@example.com,555-0119,70,52,5,2023-03-11,Cancelled
20,20,Customer 20,customer20@example.com,555-0120,7,54,6,2023-01-07,Delivered
20,20,Customer 20,customer20@example.com,555-0120,10,9,8,2023-01-10,Cancelled
20,20,Customer 20,customer20@example.com,555-0120,13,82,6,2023-01-13,Shipped
20,20,Customer 20,customer20@example.com,555-0120,16,41,4,2023-01-16,Shipped
20,20,Customer 20,customer20@example.com,555-0120,42,71,2,2023-02-11,Pending
20,20,Customer 20,customer20@example.com,555-0120,78,73,4,2023-03-19,Delivered
20,20,Customer 20,customer20@example.com,555-0120,90,33,5,2023-03-31,Shipped
20,20,Customer 20,customer20@example.com,555-0120,93,87,7,2023-04-03,Pending
20,20,Customer 20,customer20@example.com,555-0120,106,1,9,2023-04-16,Pending
